epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,6903.82,0.03039,1.01842,0.88493,0.6039,0.67104,0.67225,0.67225,0.10985,0.78323,0.13224,0.005743,0.005743,0.005743
45,7059.79,0.02967,1.01275,0.88437,0.60384,0.67223,0.67311,0.67311,0.10905,0.78258,0.1313,0.005644,0.005644,0.005644
46,7215.9,0.02988,1.01656,0.88454,0.60397,0.67389,0.6743,0.6743,0.10853,0.78174,0.13042,0.005545,0.005545,0.005545
47,7372.01,inf,1.00902,0.88413,0.60869,0.67078,0.67544,0.67544,0.10789,0.78096,0.12955,0.005446,0.005446,0.005446
48,7527.97,0.02904,1.00638,0.88551,0.60894,0.66792,0.67681,0.6768,0.10731,0.78004,0.12871,0.005347,0.005347,0.005347
49,7683.47,0.02936,1.00744,0.88527,0.6103,0.6675,0.67806,0.67805,0.10677,0.77924,0.12809,0.005248,0.005248,0.005248
50,7839.27,0.02834,1.00186,0.88495,0.60978,0.66852,0.67924,0.67923,0.10656,0.77895,0.12774,0.005149,0.005149,0.005149
51,7995.27,inf,1.00013,0.88521,0.61023,0.67051,0.68042,0.68042,0.10667,0.77875,0.12769,0.00505,0.00505,0.00505
52,8150.84,inf,1.00361,0.88451,0.61091,0.6707,0.68164,0.68164,0.10607,0.77834,0.12687,0.004951,0.004951,0.004951
53,8306.28,inf,0.99796,0.88488,0.61443,0.66652,0.68246,0.68246,0.10549,0.77787,0.12617,0.004852,0.004852,0.004852
54,8461.34,inf,0.99585,0.88528,0.6197,0.67086,0.68309,0.68309,0.11018,0.77875,0.13087,0.004753,0.004753,0.004753
55,8616.23,0.03293,1.00259,0.88638,0.59664,0.67469,0.67419,0.67419,0.11507,0.79418,0.13637,0.004654,0.004654,0.004654
56,8771.27,0.03427,1.00406,0.88571,0.51563,0.6432,0.60587,0.60585,0.11317,0.8793,0.13672,0.004555,0.004555,0.004555
57,8926.27,inf,1.02419,0.88769,0.44867,0.55051,0.50432,0.5039,0.1255,1.03449,0.15747,0.004456,0.004456,0.004456
58,9082.37,inf,1.03839,0.88759,0.22506,0.70794,0.24497,0.20652,0.52548,1.58488,0.48894,0.004357,0.004357,0.004357
59,9237.76,0.07594,1.10699,0.89731,0.30497,0.5963,0.16192,0.06522,2.1885,2.17906,1.44984,0.004258,0.004258,0.004258
60,9392.74,0.12803,1.21235,0.93417,0,0,0,0,4.95301,3.79396,5.36744,0.004159,0.004159,0.004159
61,9543.11,0.11772,1.28054,0.91866,0,0,0,0,5.94611,6.66129,43.2514,0.00406,0.00406,0.00406
62,9693.75,0.11713,1.35679,0.91861,0,0,0,0,5.94682,6.4033,47.4506,0.003961,0.003961,0.003961
63,9844.57,0.11597,1.35918,0.91848,0,0,0,0,6.3389,6.04995,63.8832,0.003862,0.003862,0.003862
64,9995.28,0.09112,1.32249,0.90356,0,0,0,0,6.39434,7.18792,95.5834,0.003763,0.003763,0.003763
